tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
0.8,0.0,False,0.8,0.5,65,188,52.12765957446809,0.772428945151309,-0.11392939397943286
0.8,0.0,False,0.8,0.5,70,147,54.421768707483,0.8526232509408732,-0.07014235532903801
0.8,0.0,False,0.8,0.5,75,74,44.5945945945946,0.5760812561612316,-0.24409357819550706
0.8,0.0,False,0.8,0.62,0,146,55.47945205479452,0.853947783885113,-0.06976702565061178
0.8,0.0,False,0.8,0.62,60,141,55.319148936170215,0.8491559072156051,-0.07223572125566251
0.8,0.0,False,0.8,0.62,65,130,56.15384615384615,0.8796798307926167,-0.05638042994343542
0.8,0.0,False,0.8,0.62,70,104,57.692307692307686,0.9235778477026089,-0.03502626579121956
0.8,0.0,False,0.8,0.62,75,61,60.65573770491803,1.0354619748847187,0.015099194702326948
1.0,0.0,False,0.8,0.5,0,221,48.86877828054298,0.8570333729350614,-0.07593536490702268
1.0,0.0,False,0.8,0.5,60,212,49.056603773584904,0.8663452873049543,-0.07049608127172832
1.0,0.0,False,0.8,0.5,65,187,50.80213903743316,0.9381662305298496,-0.03114758891852105
1.0,0.0,False,0.8,0.5,70,150,53.333333333333336,1.0437326185050408,0.020890292375103727
1.0,0.0,False,0.8,0.5,75,75,40.0,0.6179738915999212,-0.23127520115621483
1.0,0.0,False,0.8,0.62,0,167,44.31137724550898,0.6830497280974248,-0.19035369534250057
1.0,0.0,False,0.8,0.62,60,162,45.06172839506173,0.7053745583420092,-0.17424870383047003
1.0,0.0,False,0.8,0.62,65,147,46.25850340136054,0.7414902913569782,-0.1490326148558542
1.0,0.0,False,0.8,0.62,70,114,49.122807017543856,0.8265749988042418,-0.0951734733720732
1.0,0.0,False,0.8,0.62,75,64,43.75,0.6568493632255878,-0.20663569021787379
1.0,0.0,False,0.5,0.5,0,214,49.532710280373834,0.8507103112754983,-0.08145038028840305
1.0,0.0,False,0.5,0.5,60,207,49.75845410628019,0.859885702886441,-0.07599746910013779
1.0,0.0,False,0.5,0.5,65,186,50.0,0.8713181066269561,-0.06921812292346508
1.0,0.0,False,0.5,0.5,70,149,51.67785234899329,0.9336338956260537,-0.03466372493364643
1.0,0.0,False,0.5,0.5,75,74,40.54054054054054,0.5951319564313244,-0.26261517903767995
1.0,0.0,False,0.5,0.62,0,143,48.95104895104895,0.8223707159219172,-0.09902489779520149
1.0,0.0,False,0.5,0.62,60,138,48.55072463768116,0.8102401993725332,-0.10651840375422751
1.0,0.0,False,0.5,0.62,65,127,48.818897637795274,0.820478906107024,-0.10000294883512947
1.0,0.0,False,0.5,0.62,70,102,49.01960784313725,0.8199215940246227,-0.10114212580549822
1.0,0.0,False,0.5,0.62,75,61,45.90163934426229,0.7233559003632247,-0.16546361746662464
0.8,0.0,False,1.1,0.5,0,219,53.42465753424658,0.8316463660848902,-0.08019148588666071
0.8,0.0,False,1.1,0.5,60,210,53.80952380952381,0.8408719069604285,-0.07551405189463808
0.8,0.0,False,1.1,0.5,65,184,55.434782608695656,0.9091751678085147,-0.041011245404723555
0.8,0.0,False,1.1,0.5,70,149,57.04697986577181,0.9793455835244321,-0.008937323329851036
0.8,0.0,False,1.1,0.5,75,73,45.20547945205479,0.6236527362220855,-0.20413761562725902
0.8,0.0,False,1.1,0.62,0,166,53.6144578313253,0.7957600353384258,-0.10179990723341958
0.8,0.0,False,1.1,0.62,60,159,53.459119496855344,0.7922725983941438,-0.10371812060582597
0.8,0.0,False,1.1,0.62,65,144,54.861111111111114,0.8423862892440133,-0.07585473847694821
